score,decision,prep,n_obs,source_dataset,source_food_id,description,reasons
0.05,drop,other,26,sr28,22537,"HOT POCKETS Ham 'N Cheese Stuffed Sandwich, frozen",-dish/prepared
0.05,drop,other,24,fdc_sr_legacy,174976,"Crackers, cheese, sandwich-type with peanut butter filling",-dish/prepared
0.05,drop,other,4,sr28,19026,"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter",-dish/prepared
0.05,drop,other,22,sr28,19008,"Snacks, corn-based, extruded, puffs or twists, cheese-flavor",-dish/prepared
0.05,drop,other,27,sr28,22970,"Macaroni and cheese, frozen entree",-dish/prepared
0.05,drop,other,17,sr28,18271,"Ice cream cones, cake or wafer-type",-dish/prepared
0.2,drop,raw,1,sr28,12117,"Nuts, coconut milk, raw (liquid expressed from grated meat and water)",+raw -plant-analog(wrong-class)
0.4,review,other,3,sr28,1059,"Milk, filled, fluid, with blend of hydrogenated vegetable oils",-multi-ingredient
0.4,review,other,3,sr28,7918,"Sausage, summer, pork and beef, sticks, with cheddar cheese",-multi-ingredient
0.65,keep,other,28,sr28,1040,"Cheese, swiss",
0.65,keep,other,1,sr28,1093,"Milk, dry, nonfat, calcium reduced",
0.65,keep,other,22,sr28,1285,"Yogurt, Greek, strawberry, nonfat",
0.65,keep,other,26,fdc_sr_legacy,172182,"Cheese, cottage, lowfat, 2% milkfat",
0.65,keep,other,13,sr28,18103,"Coffeecake, cheese",
0.65,keep,other,19,sr28,1005,"Cheese, brick",
0.65,keep,other,7,sr28,1006,"Cheese, brie",
0.65,keep,other,28,sr28,1017,"Cheese, cream",
0.65,keep,other,14,sr28,1033,"Cheese, parmesan, hard",
0.65,keep,other,26,sr28,16098,"Peanut butter, smooth style, with salt",
0.65,keep,other,25,fdc_foundation,325036,"Cheese, parmesan, grated",
0.65,keep,other,9,sr28,1045,"Cheese food, cold pack, American",
0.65,keep,other,19,sr28,1117,"Yogurt, plain, low fat, 12 grams protein per 8 ounce",
