food_id,nutrient_id,source,source_food_id,source_food,param,value,n,min,max,cv_wan,source_refs
10014,1092,FCDB 6.1,1658,"Salmon, atlantic, aquaculture, raw",Potassium,361.571428571429,14,300.0,420.0,0.097181,"2068, 2131"
10014,1093,FCDB 6.1,1658,"Salmon, atlantic, aquaculture, raw",Sodium,46.7857142857143,14,33.0,80.0,0.294158,"2068, 2131"
10014,1095,FCDB 6.1,1658,"Salmon, atlantic, aquaculture, raw",Zinc,0.317142857142857,14,0.27,0.4,0.120028,"2068, 2131"
10014,1098,FCDB 6.1,1658,"Salmon, atlantic, aquaculture, raw",Copper,0.0378571428571429,14,0.02,0.06,0.309391,"2068, 2131"
10014,1100,FCDB 6.1,1658,"Salmon, atlantic, aquaculture, raw",Iodine,2.73571428571429,14,5.6,7.7,0.224773,"2068, 2131"
10014,1101,FCDB 6.1,1658,"Salmon, atlantic, aquaculture, raw",Manganese,0.00228571428571429,14,0.007,0.015,1.024858,"2068, 2131"
10014,1103,FCDB 6.1,1658,"Salmon, atlantic, aquaculture, raw",Selenium,16.6,14,3.5,26.0,0.39689,"2068, 2131"
10014,1110,FCDB 6.1,1658,"Salmon, atlantic, aquaculture, raw",Vitamin D3,6.07,14,2.3,7.3,0.2412,"2068, 2131"
10018,1003,FCDB 6.1,215,"Eggs, chicken, egg white, raw",Protein,10.171875,16,9.0,11.0625,0.057316,2071
10018,1007,FCDB 6.1,215,"Eggs, chicken, egg white, raw",Ash,0.72,16,0.67,0.77,0.03926,2071
10018,1051,FCDB 6.1,215,"Eggs, chicken, egg white, raw",Water,88.25625,16,87.4,89.3,0.006085,2071
10018,1087,FCDB 6.1,215,"Eggs, chicken, egg white, raw",Calcium,6.625,16,5.0,11.0,0.256006,2071
10018,1088,FCDB 6.1,215,"Eggs, chicken, egg white, raw",Chloride,195.5625,16,183.0,218.0,0.05059,2071
10018,1090,FCDB 6.1,215,"Eggs, chicken, egg white, raw",Magnesium,11.375,16,10.0,12.0,0.049701,2071
10018,1091,FCDB 6.1,215,"Eggs, chicken, egg white, raw",Phosphorus,13.5,16,10.0,17.0,0.146571,2071
10018,1092,FCDB 6.1,215,"Eggs, chicken, egg white, raw",Potassium,146.6875,16,132.0,161.0,0.055884,2071
10018,1093,FCDB 6.1,215,"Eggs, chicken, egg white, raw",Sodium,177.25,16,167.0,197.0,0.047843,2071
10018,1098,FCDB 6.1,215,"Eggs, chicken, egg white, raw",Copper,0.0213125,16,0.016,0.033,0.225476,2071
10018,1100,FCDB 6.1,215,"Eggs, chicken, egg white, raw",Iodine,2.7375,16,1.7,4.3,0.268475,2071
10018,1103,FCDB 6.1,215,"Eggs, chicken, egg white, raw",Selenium,8.675,16,3.0,12.9,0.32259,2071
10018,1165,FCDB 6.1,215,"Eggs, chicken, egg white, raw",Thiamin (Vitamin B1),0.0066875,16,0.006,0.007,0.042269,2071
10018,1166,FCDB 6.1,215,"Eggs, chicken, egg white, raw",Riboflavin (Vitamin B2),0.348125,16,0.28,0.38,0.081199,2071
10018,1167,FCDB 6.1,215,"Eggs, chicken, egg white, raw",Niacin,0.104444444444444,9,0.09,0.13,0.128159,2071
10018,1170,FCDB 6.1,215,"Eggs, chicken, egg white, raw",Pantothenic acid,0.175,16,0.12,0.25,0.209986,2071
10018,1175,FCDB 6.1,215,"Eggs, chicken, egg white, raw",Vitamin B6,0.0032,5,0.002,0.006,0.529768,2071
10018,1176,FCDB 6.1,215,"Eggs, chicken, egg white, raw",Biotin,11.74375,16,10.7,12.6,0.045733,2071
10018,1177,FCDB 6.1,215,"Eggs, chicken, egg white, raw",Folate,7.0,4,2.6,11.8,0.626368,1374
10019,1007,FCDB 6.1,1745,"Butternut squash, raw",Ash,0.8325,8,0.7,0.95,0.104693,2127
10019,1051,FCDB 6.1,1745,"Butternut squash, raw",Water,90.22625,8,88.34,91.54,0.012365,2127
10019,1087,FCDB 6.1,1745,"Butternut squash, raw",Calcium,44.625,8,27.0,61.0,0.26562,2127
10019,1089,FCDB 6.1,1745,"Butternut squash, raw",Iron,0.18375,8,0.15,0.27,0.227674,2127
10019,1090,FCDB 6.1,1745,"Butternut squash, raw",Magnesium,14.4875,8,9.9,18.0,0.194918,2127
10019,1091,FCDB 6.1,1745,"Butternut squash, raw",Phosphorus,22.75,8,16.0,32.0,0.245188,2127
10019,1092,FCDB 6.1,1745,"Butternut squash, raw",Potassium,368.75,8,290.0,480.0,0.179631,2127
10019,1095,FCDB 6.1,1745,"Butternut squash, raw",Zinc,0.14125,8,0.07,0.19,0.296178,2127
10019,1098,FCDB 6.1,1745,"Butternut squash, raw",Copper,0.05875,8,0.04,0.08,0.237363,2127
10019,1101,FCDB 6.1,1745,"Butternut squash, raw",Manganese,0.045,8,0.02,0.12,0.774725,2127
10019,1109,FCDB 6.1,1745,"Butternut squash, raw",alpha-Tocopherol,0.6485,8,0.421,0.776,0.190844,2127
10019,1165,FCDB 6.1,1745,"Butternut squash, raw",Thiamin (Vitamin B1),0.03225,8,0.022,0.046,0.259443,2127
10019,1166,FCDB 6.1,1745,"Butternut squash, raw",Riboflavin (Vitamin B2),0.0287875,8,0.0238,0.0336,0.118681,2127
10019,1167,FCDB 6.1,1745,"Butternut squash, raw",Niacin,0.441,8,0.224,0.785,0.443491,2127
10019,1170,FCDB 6.1,1745,"Butternut squash, raw",Pantothenic acid,0.258625,8,0.196,0.43,0.315432,2127
10019,1175,FCDB 6.1,1745,"Butternut squash, raw",Vitamin B6,0.0778875,8,0.0617,0.0941,0.145023,2127
10019,1176,FCDB 6.1,1745,"Butternut squash, raw",Biotin,1.75375,8,1.15,2.39,0.246498,2127
10019,1177,FCDB 6.1,1745,"Butternut squash, raw",Folate,30.2625,8,23.9,43.0,0.220033,2127
10021,1101,FCDB 6.1,940,"Beef, topside ""cap on"", raw",Manganese,0.011,32,0.006,0.016,0.219935,1348
10031,1003,FCDB 6.1,1230,"Egg, chicken, yolk, raw",Protein,15.62109375,16,11.4375,16.25,0.087085,2071
10031,1004,FCDB 6.1,1230,"Egg, chicken, yolk, raw",Fat,28.383,20,24.6,30.05,0.05139,"1818, 2071"
10031,1007,FCDB 6.1,1230,"Egg, chicken, yolk, raw",Ash,1.686875,16,1.57,1.74,0.028487,2071
10031,1051,FCDB 6.1,1230,"Egg, chicken, yolk, raw",Water,52.86875,16,51.4,55.4,0.021387,2071
10031,1087,FCDB 6.1,1230,"Egg, chicken, yolk, raw",Calcium,137.75,16,127.0,172.0,0.092343,2071
10031,1088,FCDB 6.1,1230,"Egg, chicken, yolk, raw",Chloride,189.4375,16,169.0,209.0,0.059687,2071
10031,1089,FCDB 6.1,1230,"Egg, chicken, yolk, raw",Iron,5.330625,16,4.72,7.28,0.135752,2071
10031,1090,FCDB 6.1,1230,"Egg, chicken, yolk, raw",Magnesium,11.875,16,11.0,14.0,0.071412,2071
10031,1091,FCDB 6.1,1230,"Egg, chicken, yolk, raw",Phosphorus,498.875,16,457.0,621.0,0.092926,2071
10031,1092,FCDB 6.1,1230,"Egg, chicken, yolk, raw",Potassium,103.0625,16,97.0,124.0,0.074054,2071
10031,1093,FCDB 6.1,1230,"Egg, chicken, yolk, raw",Sodium,57.75,16,52.0,70.0,0.088106,2071
